date,time,open,high,low,close,volume,number_of_trades
2021-04-28,09:30 AM,113.87,113.87,113.0,113.815,3332,58
2021-04-28,09:31 AM,113.79,113.79,113.0,113.08,4517,52
2021-04-28,09:32 AM,113.08,113.09,112.97,112.99,4765,37
2021-04-28,09:33 AM,112.97,112.985,112.4,112.49,5099,54
2021-04-28,09:34 AM,112.5,112.66,112.5,112.52,1823,20
2021-04-28,09:35 AM,112.36,112.36,111.88,112.06,9560,93
2021-04-28,09:36 AM,112.115,112.35,111.96,111.97,15605,102
2021-04-28,09:37 AM,112.1,112.1,111.68,111.83,6442,73
2021-04-28,09:38 AM,111.84,112.39,111.77,112.39,8227,79
2021-04-28,09:39 AM,112.46,112.97,112.4,112.88,2996,28
2021-04-28,09:40 AM,112.835,113.14,112.835,112.96,3820,41
2021-04-28,09:41 AM,113.125,113.53,113.125,113.49,4061,53
2021-04-28,09:42 AM,113.55,114.1,113.5,113.87,7559,66
2021-04-28,09:43 AM,113.75,113.75,113.29,113.45,3601,47
2021-04-28,09:44 AM,113.495,113.495,113.235,113.235,1509,18
2021-04-28,09:45 AM,113.31,113.33,113.14,113.33,1614,18
2021-04-28,09:46 AM,113.33,113.33,113.04,113.05,1273,15
2021-04-28,09:47 AM,113.12,113.2,113.04,113.19,4095,49
2021-04-28,09:48 AM,113.17,113.32,113.115,113.3,2798,31
2021-04-28,09:49 AM,113.34,113.44,113.3,113.3,2762,32
2021-04-28,09:50 AM,113.375,113.43,112.98,113.05,2592,36
2021-04-28,09:51 AM,113.03,113.05,112.82,112.84,3972,47
2021-04-28,09:52 AM,112.84,113.005,112.69,112.69,2165,29
2021-04-28,09:53 AM,112.66,112.66,112.555,112.555,1351,17
2021-04-28,09:54 AM,112.55,112.55,112.46,112.5,871,14
2021-04-28,09:55 AM,112.53,112.53,112.33,112.34,3130,27
2021-04-28,09:56 AM,112.325,112.365,112.24,112.28,1132,17
2021-04-28,09:57 AM,112.295,112.43,112.295,112.37,1229,20
2021-04-28,09:58 AM,112.42,112.68,112.345,112.425,3029,35
2021-04-28,09:59 AM,112.5,112.5,112.32,112.36,1295,21
2021-04-28,10 AM,112.34,112.41,112.2,112.255,3029,34
2021-04-28,10:01 AM,112.19,112.2,112.13,112.14,1025,15
2021-04-28,10:02 AM,112.14,112.23,112.115,112.16,3120,32
