date,open,high,low,close
2006-12-29,18.076,18.545,17.83,18.33
2007-01-03,18.1,19.0,18.11,18.15
2007-01-04,17.867,18.11,17.655,18.267
2007-01-05,18.284,17.8,18.171,18.45
2007-01-08,17.88,17.6708,18.23,18.133
2007-01-09,18.4,17.719,18.17,17.57
2007-01-10,17.625,17.6,17.111,17.468
2007-01-11,17.39,18.72,17.27,18.786
2007-01-12,18.24,18.93,18.568,18.3
2007-01-16,18.0,18.694,18.421,18.76
2007-01-17,18.5549,18.61,18.561,18.173
2007-01-18,18.6,18.71,18.4,18.284
2007-01-19,18.235,18.73,18.4,17.96
2007-01-22,17.89,18.3,18.2,17.911
2007-01-23,18.37,18.349,17.62,17.953
2007-01-24,17.6,17.94,17.52,17.585
2007-01-25,17.48,17.99,17.09,17.322
2007-01-26,17.6313,17.655,16.823,17.67
2007-01-29,17.436,18.19,17.5,17.41
2007-01-30,18.165,18.34,17.95,17.82
2007-01-31,17.568,17.88,17.2874,17.84
2007-02-01,17.726,18.49,17.67,17.757
2007-02-02,17.742,18.12,17.12,17.788
2007-02-05,17.74,17.881,17.73,17.23
2007-02-06,17.122,17.806,17.287,16.961
2007-02-07,17.67,17.431,16.86,17.02
2007-02-08,16.8932,17.334,16.766,17.32
2007-02-09,17.11,16.882,17.01,16.99
2007-02-12,17.1544,17.22,16.42,16.874
2007-02-13,16.87,16.89,16.831,16.47
2007-02-14,16.699,17.317,16.9,17.26
2007-02-15,16.77,17.09,16.6,17.34
2007-02-16,17.03,17.2,16.947,16.561
2007-02-20,16.7,16.78,16.44,16.72
2007-02-21,16.65,16.94,16.2853,16.5
2007-02-22,16.394,17.011,16.8,17.253
2007-02-23,17.0,16.62,17.035,16.398
2007-02-26,16.904,17.0,16.426,16.0466
2007-02-27,16.282,16.321,15.44,15.474
2007-02-28,15.734,16.08,15.74,15.47
2007-03-01,15.584,15.8,15.647,15.928
2007-03-02,15.29,15.413,15.1,15.49
2007-03-05,14.967,15.327,15.276,15.327
2007-03-06,15.234,15.37,15.449,15.0
2007-03-07,15.539,15.9,15.258,15.435
2007-03-08,16.173,15.787,15.456,15.36
2007-03-09,15.617,15.752,15.784,15.893
2007-03-12,15.573,16.0,15.551,15.144
2007-03-13,15.29,15.34,14.904,15.12
2007-03-14,14.64,14.927,14.65,14.71
2007-03-15,15.11,15.295,14.725,14.924
2007-03-16,15.55,16.228,15.513,15.33
2007-03-19,16.046,15.724,15.66,15.66
2007-03-20,16.36,15.8,16.27,16.32
2007-03-21,15.98,16.515,16.04,16.817
2007-03-22,16.885,16.393,16.21,16.58
2007-03-23,16.13,16.605,15.7,16.12
2007-03-26,16.227,16.815,16.246,16.473
2007-03-27,16.14,17.0,16.1,16.56
2007-03-28,16.0,16.589,16.166,16.06
2007-03-29,16.01,16.256,15.65,15.889
2007-03-30,16.1,16.35,15.6,16.24
2007-04-02,16.283,16.115,15.754,16.021
2007-04-03,16.2,16.27,16.388,16.102
2007-04-04,16.245,16.428,15.91,16.26
2007-04-05,16.4,16.552,16.34,16.1
2007-04-09,16.1,16.45,15.585,16.31
2007-04-10,16.4,15.86,15.86,16.23
2007-04-11,16.102,16.3,15.89,15.629
2007-04-12,15.869,15.596,15.21,15.463
2007-04-13,16.046,15.484,15.479,15.85
2007-04-16,15.7,16.246,16.03,15.707
2007-04-17,15.617,16.053,15.8,16.21
2007-04-18,15.71,15.587,15.594,16.01
2007-04-19,16.0,16.167,15.946,16.05
2007-04-20,16.045,16.34,15.81,16.07
2007-04-23,16.18,16.5,15.9,15.811
2007-04-24,16.38,15.9,15.738,16.06
2007-04-25,15.739,16.21,16.2,16.54
2007-04-26,16.5,16.75,16.08,16.35
2007-04-27,16.5,16.529,16.4,16.5
2007-04-30,7.417,16.43,16.0,15.59
2007-05-01,16.09,15.713,15.616,15.721
2007-05-02,15.65,16.28,15.8,15.681
2007-05-03,16.16,16.03,15.761,16.22
2007-05-04,16.302,16.58,15.68,15.86
2007-05-07,15.5,15.903,15.32,15.742
2007-05-08,15.656,15.318,15.582,15.19
2007-05-09,15.679,15.15,15.62,15.12
2007-05-10,16.0,15.7,15.41,15.42
2007-05-11,15.167,15.61,15.37,15.212
2007-05-14,15.45,15.272,14.512,15.04
2007-05-15,14.631,15.1,14.607,14.512
2007-05-16,14.27,14.78,14.364,14.2
2007-05-17,14.52,14.97,14.452,14.434
2007-05-18,14.5,14.909,14.52,14.944
2007-05-21,15.2,15.176,14.918,14.73
2007-05-22,15.2,14.81,15.053,14.721
2007-05-23,14.782,14.81,14.58,14.894
2007-05-24,14.8,15.279,14.2,14.589
2007-05-25,14.666,14.59,14.7,14.363
2007-05-29,15.067,14.67,14.4,14.849
2007-05-30,14.709,14.397,14.34,14.73
2007-05-31,14.661,14.55,14.75,15.116
2007-06-01,14.555,15.187,14.935,15.213
2007-06-04,14.941,14.753,14.33,15.053
2007-06-05,14.93,14.558,14.538,14.627
2007-06-06,14.83,14.3,14.73,14.506
2007-06-07,14.24,14.488,13.939,13.78
2007-06-08,14.043,14.535,14.116,14.511
2007-06-11,13.93,14.4,13.954,14.23
2007-06-12,13.86,14.15,13.48,14.41
2007-06-13,14.015,14.319,14.254,14.343
2007-06-14,14.18,14.52,14.19,14.394
2007-06-15,14.204,14.0,14.36,14.529
2007-06-18,15.0,15.0,13.843,13.91
2007-06-19,14.54,13.988,13.77,14.318
2007-06-20,13.92,14.136,14.27,13.84
2007-06-21,14.11,14.065,13.7,13.29
2007-06-22,13.0,13.3706,12.87,13.05
2007-06-25,13.399,12.94,12.86,12.92
2007-06-26,13.4,13.145,13.08,13.211
2007-06-27,12.949,13.37,13.06,13.162
2007-06-28,13.3,13.95,13.673,13.601
2007-06-29,13.84,13.64,13.394,13.71
2007-07-02,13.725,13.36,13.0,13.045
2007-07-03,13.4,13.8,13.55,13.61
2007-07-05,13.329,13.484,13.36,13.4
2007-07-06,13.43,13.641,13.404,13.656
2007-07-09,13.7,13.948,13.759,13.8
2007-07-10,13.61,13.27,13.179,13.539
2007-07-11,13.215,13.72,13.22,13.233
2007-07-12,13.07,13.538,13.269,13.41
2007-07-13,13.1,13.299,13.142,13.161
2007-07-16,13.65,13.183,13.28,13.58
