date,time,open,high,low,close,volume,number_of_trades
2021-04-27,09:30 AM,115.67,115.8,115.57,115.655,1619,18
2021-04-27,09:31 AM,115.65,115.95,115.64,115.93,1200,11
2021-04-27,09:32 AM,115.94,116.11,115.93,116.08,854,10
2021-04-27,09:33 AM,115.97,116.05,115.84,115.85,1029,11
2021-04-27,09:34 AM,115.79,115.79,115.685,115.73,719,6
2021-04-27,09:35 AM,115.84,115.84,115.76,115.77,793,4
2021-04-27,09:36 AM,115.69,115.8,115.69,115.69,1702,17
2021-04-27,09:37 AM,115.66,115.71,115.62,115.62,1311,13
2021-04-27,09:38 AM,115.68,115.7,115.59,115.67,606,9
2021-04-27,09:39 AM,115.67,115.67,115.47,115.65,1099,15
2021-04-27,09:40 AM,115.765,115.865,115.73,115.865,1096,14
2021-04-27,09:41 AM,115.885,116.125,115.885,116.125,1409,14
2021-04-27,09:42 AM,116.14,116.29,116.12,116.235,2006,21
2021-04-27,09:43 AM,116.19,116.19,116.09,116.135,1050,13
2021-04-27,09:44 AM,116.19,116.19,116.14,116.14,400,4
2021-04-27,09:45 AM,116.09,116.12,116.09,116.12,655,7
2021-04-27,09:46 AM,116.17,116.26,116.17,116.19,987,11
2021-04-27,09:47 AM,116.15,116.15,116.11,116.11,400,4
2021-04-27,09:48 AM,116.0,116.04,115.99,116.04,832,9
2021-04-27,09:49 AM,116.04,116.05,115.99,116.05,1608,15
2021-04-27,09:50 AM,116.04,116.055,116.01,116.055,226,3
2021-04-27,09:51 AM,116.09,116.09,116.05,116.07,1100,11
2021-04-27,09:52 AM,116.06,116.08,116.0,116.0,1310,13
2021-04-27,09:53 AM,116.03,116.09,116.03,116.07,902,10
2021-04-27,09:54 AM,116.06,116.08,115.99,116.0,1257,13
2021-04-27,09:55 AM,116.01,116.05,115.985,116.01,5368,30
2021-04-27,09:56 AM,115.9,115.9,115.87,115.895,504,7
2021-04-27,09:57 AM,115.88,115.885,115.86,115.88,1622,11
2021-04-27,09:58 AM,115.8,115.8,115.67,115.7,426,7
2021-04-27,09:59 AM,115.63,115.65,115.56,115.62,1853,21
2021-04-27,10 AM,115.63,115.71,115.6,115.71,513,6
2021-04-27,10:01 AM,115.705,115.86,115.705,115.86,1218,14
2021-04-27,10:02 AM,115.89,115.91,115.81,115.91,109,3
2021-04-27,10:03 AM,115.955,115.955,115.855,115.855,1602,10
2021-04-27,10:04 AM,115.83,115.83,115.74,115.74,607,9
2021-04-27,10:05 AM,115.75,115.77,115.7,115.7,143,8
2021-04-27,10:06 AM,115.69,115.76,115.66,115.68,863,12
2021-04-27,10:07 AM,115.75,115.75,115.69,115.69,37,6
2021-04-27,10:08 AM,115.65,115.65,115.62,115.64,300,6
2021-04-27,10:09 AM,115.65,115.65,115.55,115.63,928,14
2021-04-27,10:10 AM,115.66,115.775,115.66,115.77,564,11
2021-04-27,10:11 AM,115.73,115.74,115.71,115.71,600,13
2021-04-27,10:12 AM,115.71,115.71,115.58,115.58,415,10
