user_id,date,user,screen_name,is_verified,tweet,likes,re_tweet,location,language,followers_count,friends_count,listed_count,statuses_count,favourites_count
817559134577037312,2021-04-27 01:34:07,Pita Swift,pita_swift,False,why is @Starbucks running out of coffee?????😫😫😫😫😫#Starbucks #Coffee,0,0,Chicago ✈️ ,en,171,917,0,1813,1862
404505606,2021-04-27 01:23:07,Lynn Shaw,LynnShaw3,False,Check out Starbucks Coffee Classic Mug 2018 Cream Green Siren Mermaid Logo 10.8 fl oz  #Starbucks https://t.co/j5LBvf7w3n via @eBay,0,0,,en,32,67,0,728,634
16049299,2021-04-27 01:21:58,@Skibare,wind4me,False,"Someone asked me “”””WHY so competitive ??”””

There is ONLY one #Starbucks 

There is one @SnoopDogg  

There is O… https://t.co/w4IM8UeeAy",0,0,"Winter Park, Colorado",en,9325,10209,516,254507,131510
404505606,2021-04-27 01:15:17,Lynn Shaw,LynnShaw3,False,Check out Set of 2 Starbucks TM 2011 White Ceramic 11 oz Coffee Mug Green Siren Mermaid #Starbucks https://t.co/Fkw2omIEGP via @eBay,0,0,,en,32,67,0,728,634
263515695,2021-04-27 00:58:31,Nico,TheOneSoco,False,When you ask for light ice and the barista fills your cup to rim with ice 🥴 Never going to that @Starbucks again 🙄… https://t.co/JgsLV3EA86,1,0,"Chicago, IL",en,352,508,3,5796,10136
1371217395759644675,2021-04-27 00:46:35,Yujiro Corleone Eto,oxfordnycyujiro,False,"Starbucks Royal Seat near Imperial Palace in Tokyo!
#starbucks #スターバックス #皇居 #ニューヨーク不動産 #不動産投資 #不動産 #tokyo #japan… https://t.co/jn6ijrzHKc",0,0,,en,5,5,0,50,0
849577149795364864,2021-04-27 00:37:26,West Side Marketplace,hopescloset2,False,Check out 2010 STARBUCKS Demitasse 3 oz Espresso Cup  Ornament Siren Logo  New #Starbucks https://t.co/dDl8hba1zX via @eBay,0,1,"South Dakota, USA",en,3886,1249,18,178731,10922
19619365,2021-04-27 00:34:29,Heather Pechin,pechin6,False,"I just happen to love me a good Starbucks sippy cup!!! This gets me through the work day, especially on hour 10 ish… https://t.co/mU2caHY76B",0,0,"Indianapolis, Indiana",en,371,1315,13,3421,293
1950562837,2021-04-27 00:28:31,Thriftystilettomama,thrftystlttoma,False,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/4JV2AblaFt,0,0,,en,176,208,5,284,55
328293895,2021-04-27 00:27:26,Rod Murphy 🍀☕️🏒⚾️,RodMurphy1,False,@CityPortStLucie are you getting excited for the @Starbucks opening May 21st? Come out and support your new local s… https://t.co/84HLraDqwW,2,0,"Palm Bay Florida, Billerica Ma",en,203,506,4,7510,4761
48229732,2021-04-26 23:59:09,D S,damanjit1,False,"This is what happens in the Starbucks app if you don't have #google wifi scanning turned on.
Sorry #Starbucks app i… https://t.co/bKkntQOc9e",0,0,"San Diego, CA",en,42,155,2,3468,99
139071718,2021-04-26 23:55:52,Leslie Walker,afroanticplans,False,"That first sip feeling...
#starbucksrefreshers 
#lemonade
#classicsyrup
#raspberrysyrup
#strawberryacai… https://t.co/pBXr9QakwR",0,0,"Georgia, USA",en,218,1143,2,13311,1790
136054344,2021-04-26 23:47:06,Almy🌙,ayyyalmis,False,Anyone know if @Starbucks still has an oat milk shortage? #starbucks,1,0,"Riverside, California ☀️",en,596,523,2,24369,15608
1295934760976449536,2021-04-26 23:45:58,Anna Perez,AnnaPerezSbux,False,"“In times of adversity and change, we really discover who we are and what we’re made of.” Howard Schultz
Today we p… https://t.co/hs4y1Yj6Ti",1,0,"Santa Ana, CA",en,38,194,0,81,370
731685242495340547,2021-04-26 23:44:50,Norma Gordon,NormaG92040,False,Sounds of Starbucks - Tim Hawkins https://t.co/Nxyj4R1rSF via @YouTube #coffee #Starbucks #funny,0,0,"California, USA",en,17,146,4,3361,2777
15314782,2021-04-26 23:21:55,Johnny-Sells,JohnnySells,False,Check out Starbucks Red Barrel Coffee Tea Mug Cup 14 oz  #Starbucks https://t.co/50gbZSFTzQ via @eBay,0,0,"Chicago, IL",en,329,87,8,10713,107
3244832131,2021-04-26 23:20:44,🖤 100QueenEsther 🖤,100queenesther,False,When minding my own business-no one bats an eye. But the day I restart my diet-everyone &amp; their mother seems to not… https://t.co/CDD7IKOKuO,0,0,USA,en,214,61,0,1959,4157
203117934,2021-04-26 23:13:35,Francis Karamihan,IscoK,False,"Coffee Tuesday

#Quarantine2021 #MECQ #starbucksph #starbucks #coffee #cafeamericano #tunapandesal @ Starbucks Phil… https://t.co/OSGlOjuBRY",0,0,"Binan, Laguna
",en,200,140,18,12192,51
1169603900392914944,2021-04-26 22:31:12,ꜰɴʙʀ-ɴᴇᴡꜱ & ʟᴇᴀᴋꜱ,FNBRNEWSCOMPANY,False,What’s your favorite #Starbucks drink?,0,0,⬇️ᴛᴡᴇᴇᴛɪɴɢ & ʀᴇᴛᴡᴇᴇᴛɪɴɢ🔁,en,80,258,0,1990,1
3295224437,2021-04-26 22:26:31,MACK AND SOUL BAND,macandsoul,False,It was a #beautiful day in #newyorkcity . #Newmusic is being #played in all #venues #starbucks #hotels #centralpark… https://t.co/U0zlMbC1xQ,0,0,"New York, USA",en,14222,13369,715,108777,10398
1101081968,2021-04-26 21:45:44,@RockinWOAPRadio,RockinWOAPRadio,False,#MusicFamily #ListenUp&gt;&gt;&gt;#Starbucks @Starbucks Endorsed CD DoWhatWeDo Artist #RaspinStuwart @raspinstuwart … GotsaA… https://t.co/BuZztB1bPl,1,1,"Owosso, MI",en,12739,11942,469,1158482,143167
1212517747529113600,2021-04-26 21:21:43,💫,dark_ailish,False,Adding coffee grounds to my garden is awesome and all (@Starbucks for the bags of grounds you can pick up at most l… https://t.co/7LjZs6r2bw,0,0,"Oyo, Oheeo, Ohio",en,268,977,2,2148,6595
3213401669,2021-04-26 20:49:46,Lisa Wages Mogge,LisaVaulene,False,A naturopathic doctor decodes the ingredients in popular Starbucks low-sugar drinks and gives the verdict on what's… https://t.co/KK1HvBFj40,0,0,"Chicago, IL",en,58,197,0,2196,1
3145606277,2021-04-26 20:39:59,Reed Cowan,ReedCowanTV,False,@KW10110 @News3LV Black with three #stevia at home. #Starbucks makes me a venti iced quad shot non fat triple stevia latte.,0,0,,en,9181,578,97,17047,12350
866442150573158401,2021-04-26 19:59:51,Us Living Life,UsLivingLife,False,The 10 Best #Starbucks Copycat #Coffee Recipes https://t.co/Vzdvitf7Ae #food #recipe,1,0,"Oklahoma, USA",en,6273,4259,21,20625,377
1286891312197726210,2021-04-26 19:59:30,Fun Spreads,FSpreads,False,Check out STARBUCKS JAPAN Bearista Girl Bear Plush In Kimono Limited #STARBUCKS https://t.co/Sz6rEL6uUy via @eBay,2,4,,en,476,2410,2,14846,5574
373506963,2021-04-26 19:59:23,Sam Butler,TuAmigoSam,False,Turistiando #Theater #chicago #starbucks @ Chicago Downtown https://t.co/o8X2F05fyp,1,0,"Juárez, Chihuahua",en,863,788,7,1240,572
1286891312197726210,2021-04-26 19:59:06,Fun Spreads,FSpreads,False,Check out STARBUCKS JAPAN Limited  Bearista Boy Bear Plush In Kimono  #STARBUCKS https://t.co/86ASA5Y9dD via @eBay,3,4,,en,476,2410,2,14846,5574
897100278142390273,2021-04-26 19:47:53,Genena_11:11,ELF_CF,False,"White Mokka with Wipping Cream 😍

#Starbucks 
@Starbucks 
@StarbucksEG",1,0,"Cairo, Fifth Settlement",en,537,757,0,8063,951
18769118,2021-04-26 19:44:47,GVSUFOOD,GVSUFOOD,False,"🚨Attention🚨 Use up those Dining Dollars!
Reminder: You can use Dining Dollars @JetsPizza (Allendale location only)… https://t.co/Ya4ik2QEf0",1,1,Grand Valley State University,en,2533,147,19,5818,3419
16743925,2021-04-26 19:40:48,simplyshay,simplyshay,False,Check out Starbucks Boston Mug Been There Marathon Paul Revere Lobster New #Starbucks https://t.co/0B4YWRwBHY via @eBay,0,0,,en,2762,3875,64,111091,4879
27514989,2021-04-26 19:36:40,Gregor Brown,gregorbrown,False,You know where to find me @IGIGLI #Starbucks https://t.co/eVXEQngllD,0,0,"Florence, Tuscany",en,7804,926,492,23133,3708
1374856753,2021-04-26 19:30:25,Faith Lavon,allfaithlavon,False,"Coffee Affair Ep.9

🎶Lovefool/The Cardigans 

#morningjoe #starbucks #freshbagofcoffee #coffeelover… https://t.co/Kl6K1fLD0S",0,0,,en,1203,439,17,17103,11927
425218285,2021-04-26 18:35:55,UWF Dining,UWFDining,False,Barista's Choice: SUMMER VIBES☀️: Refreshing Blended Strawberry Passionfruit drink made by our very own Kat! Stop b… https://t.co/y6lOJ9cOAr,0,0,University of West Florida,en,596,171,11,2245,448
