city_name,city_lat,city_lng,city_temp_max,city_temp_min,city_temp,city_pressure,city_humidity,city_cloud,city_wind_speed,city_wind_deg,city_country,city_date,city_sunrise,city_sunset,weather_main,weather_description
Andorra la Vella,42.5045,1.4941,6.11,1.11,3.56,1020,89,98,0.89,34,AD,1619147712,1619154008,1619203449,Clouds,overcast clouds
Abu Dhabi,24.4667,54.3667,25,23,24.13,1010,69,0,2.57,200,AE,1619147640,1619142820,1619189262,Clear,clear sky
Al Ain,24.1917,55.7606,27,27,27,1012,16,0,2.57,70,AE,1619147712,1619142504,1619188909,Clear,clear sky
Dubai,25.2582,55.3047,26,23,25.08,1010,50,0,1.03,0,AE,1619147214,1619142542,1619189090,Clear,clear sky
Fujairah,25.1164,56.3414,29,29,29,1010,65,15,0.51,20,AE,1619147712,1619142302,1619188831,Clouds,few clouds
Avellaneda,-29.1176,-59.6583,19.74,19.74,19.74,1013,69,94,3.04,63,AR,1619147547,1619173292,1619213514,Clouds,overcast clouds
Boulogne-sur-Mer,50.7167,1.6167,3,3,3,1028,87,0,3.09,80,FR,1619147713,1619152957,1619204441,Clear,clear sky
Buenos Aires,-34.6132,-58.3772,22,21.11,21.63,1015,83,0,2.57,0,AR,1619147665,1619173385,1619212807,Clear,clear sky
José María Ezeiza,-34.8479,-58.5287,22,20.56,21.46,1015,78,0,2.57,40,AR,1619147577,1619173439,1619212825,Clear,clear sky
Martinez,38.0194,-122.1341,11.67,8.89,10.13,1013,71,1,6.69,200,US,1619147713,1619097771,1619146241,Clear,clear sky
Morón,-34.6534,-58.6198,21.67,20.56,21.3,1019,85,93,1.79,51,AR,1619147714,1619173446,1619212862,Clouds,overcast clouds
Pilar,-9.5972,-35.9567,24,24,24,1013,94,40,1.54,10,BR,1619147714,1619166430,1619209002,Clouds,scattered clouds
Quilmes,-34.7242,-58.2527,22,20.56,21.4,1015,83,0,2.57,0,AR,1619147714,1619173363,1619212769,Clear,clear sky
San Isidro,-12.1167,-77.05,18.89,17.78,18.2,1013,88,20,3.6,160,PE,1619147714,1619090025,1619132350,Clouds,few clouds
San Justo,-30.7891,-60.5919,17.78,17.78,17.78,1014,98,2,0.89,68,AR,1619147714,1619173633,1619213621,Clear,clear sky
Tigre,-34.426,-58.5796,21.11,20,20.51,1014,88,0,3.6,30,AR,1619147714,1619173419,1619212870,Clear,clear sky
Tortuguitas,-34.4697,-58.7592,20.56,20,20.4,1014,88,0,3.6,30,AR,1619147715,1619173465,1619212910,Clear,clear sky
Vicente López,-34.5295,-58.4737,22,20,21.12,1015,83,0,2.57,0,AR,1619147715,1619173401,1619212837,Clear,clear sky
Caba,16.4316,120.3446,29.05,29.05,29.05,1008,65,61,6.51,317,PH,1619147715,1619127496,1619172920,Clouds,broken clouds
Mendoza,-32.8908,-68.8272,15,15,15,1014,77,0,0.93,180,AR,1619147520,1619175763,1619215444,Clear,clear sky
Rosario,-32.9468,-60.6393,19.44,19,19.32,1013,94,0,2.06,70,AR,1619147467,1619173801,1619213476,Clear,clear sky
Santa Fe,-31.6333,-60.7,21.11,20.56,20.65,1008,87,1,1.34,35,AR,1619147671,1619173720,1619213587,Clear,clear sky
Córdoba,-31.4135,-64.1811,18.33,17,17.59,1014,100,90,1.54,230,AR,1619147251,1619174540,1619214438,Drizzle,drizzle
Vösendorf,48.1211,16.3404,6.11,4.44,5.02,1023,56,0,4.12,300,AT,1619147716,1619149789,1619200543,Clear,clear sky
Salzburg,47.7994,13.044,2.78,1,1.83,1024,100,20,2.06,150,AT,1619147563,1619150621,1619201293,Clouds,few clouds
Schwechat,48.1333,16.4667,6.11,3.89,4.95,1023,56,0,4.12,300,AT,1619147442,1619149757,1619200514,Clear,clear sky
Vienna,48.2085,16.3721,6.11,3.89,4.83,1023,56,0,4.12,300,AT,1619147432,1619149769,1619200547,Clear,clear sky
Manly,-33.798,151.2883,21.11,19.44,20.07,1016,32,0,5.66,250,AU,1619147717,1619122976,1619162589,Clear,clear sky
Parramatta,-33.8178,151.0035,22.78,19.44,21.12,1013,40,0,0.45,338,AU,1619147721,1619123046,1619162656,Clear,clear sky
Sydney,-33.8679,151.2073,21,19.44,19.98,1016,32,0,5.66,250,AU,1619147550,1619123001,1619162603,Clear,clear sky
Westmead,-33.8038,150.9877,22.78,19.44,21.12,1013,40,0,0.45,338,AU,1619147721,1619123049,1619162661,Clear,clear sky
Brisbane,-27.4679,153.0281,23.89,22,23.21,1017,40,20,2.57,100,AU,1619147722,1619122116,1619162613,Clouds,few clouds
Broadbeach,-28.0278,153.4334,23.89,22.78,23.23,1016,43,0,2.57,180,AU,1619147722,1619122056,1619162479,Clear,clear sky
Chermside,-27.3863,153.0314,23.89,22.78,23.41,1015,44,1,1.47,90,AU,1619147722,1619122110,1619162618,Clear,clear sky
Gold Coast,-28,153.4333,23.33,22.78,23.02,1016,43,0,2.57,180,AU,1619147647,1619122054,1619162481,Clear,clear sky
Surfers Paradise,-28.0027,153.43,23.89,22.78,23.25,1016,43,0,2.57,180,AU,1619147722,1619122055,1619162482,Clear,clear sky
Melbourne,28.0836,-80.6081,20,17.22,18.43,1020,82,1,4.63,10,US,1619147724,1619088599,1619135483,Clear,clear sky
Baku,40.3777,49.892,14,14,14,1019,77,65,9.26,330,AZ,1619147653,1619142621,1619191608,Mist,mist
Brussels,50.8504,4.3488,3.33,0.56,1.87,1028,93,0,1.54,40,BE,1619147178,1619152282,1619203805,Clear,clear sky
Antwerp,51.2199,4.4035,3.89,2.22,3.05,1029,87,0,1.54,40,BE,1619147670,1619152214,1619203847,Clear,clear sky
Ghent,51.05,3.7167,2.78,1.11,2.04,1028,81,8,2.72,65,BE,1619147719,1619152404,1619203986,Clear,clear sky
Leuven,50.8796,4.7009,2.78,0,1.19,1028,87,5,1.54,50,BE,1619147641,1619152194,1619203724,Clear,clear sky
Zaventem,50.8837,4.473,2.78,0,1.17,1028,93,0,1.54,40,BE,1619147726,1619152248,1619203780,Clear,clear sky
Liège,50.6337,5.5675,2,-1.11,0.96,1027,87,0,1.03,0,BE,1619147695,1619152022,1619203480,Clear,clear sky
Namur,50.4669,4.8675,2,1.67,1.86,1027,87,75,2.57,50,BE,1619147726,1619152214,1619203624,Clouds,broken clouds
Sofia,42.6975,23.3242,8,8,8,1019,93,90,2.57,300,BG,1619146910,1619148754,1619198226,Rain,light rain
Brunei Town,4.9403,114.9481,31,30.56,30.79,1011,70,75,2.06,220,BN,1619147727,1619129435,1619173571,Clouds,broken clouds
Santa Cruz de la Sierra,-17.8,-63.1667,24,24,24,1009,94,75,2.57,10,BO,1619147727,1619087007,1619128705,Clouds,broken clouds
Niterói,-22.8833,-43.1036,23,21,21.98,1015,78,75,3.09,30,BR,1619147611,1619168912,1619209950,Clouds,broken clouds
Rio de Janeiro,-22.9028,-43.2075,23,21,21.97,1015,78,75,3.09,30,BR,1619147540,1619168938,1619209973,Clouds,broken clouds
Barueri,-23.5106,-46.8761,16,15,15.32,1020,94,75,2.57,160,BR,1619147728,1619169856,1619210815,Clouds,broken clouds
Bauru,-22.3147,-49.0606,15.56,15.56,15.56,1019,87,0,1.34,149,BR,1619147728,1619170307,1619211414,Clear,clear sky
Campinas,-22.9056,-47.0608,16.67,15,15.8,1019,88,0,3.6,130,BR,1619147517,1619169863,1619210897,Clear,clear sky
Ribeirão Preto,-21.1775,-47.8103,17,17,17,1016,82,0,2.06,160,BR,1619147728,1619169937,1619211183,Clear,clear sky
Santo André,-23.6639,-46.5383,16,15,15.21,1020,94,75,2.57,160,BR,1619147728,1619169785,1619210725,Clouds,broken clouds
Santos,-23.9608,-46.3336,20.56,20.56,20.56,1014,26,49,0.45,86,BR,1619147492,1619169754,1619210657,Clouds,scattered clouds
São José do Rio Preto,-20.8197,-49.3794,20,20,20,1016,60,0,3.6,190,BR,1619147729,1619170292,1619211581,Clear,clear sky
São Paulo,-23.5475,-46.6361,16,15,15.27,1020,82,40,2.57,130,BR,1619147590,1619169801,1619210756,Clouds,scattered clouds
Sorocaba,-23.5017,-47.4581,15,15,15,1019,88,0,3.6,130,BR,1619147730,1619169996,1619210956,Clear,clear sky
Airdrie,55.866,-3.9803,3.89,0,2.17,1028,93,100,1.03,250,GB,1619147730,1619153433,1619206652,Clouds,overcast clouds
Banff,51.1762,-115.5698,-4,-5,-4.39,1020,74,100,3.09,40,CA,1619147500,1619094695,1619146168,Clouds,overcast clouds
Beaumont,30.0861,-94.1019,19,17.78,18.28,1017,72,90,5.66,110,US,1619147579,1619091692,1619138867,Clouds,overcast clouds
Brooks,50.5834,-111.8851,-1,-1.11,-1.03,1022,47,100,3.6,30,CA,1619147730,1619093898,1619145196,Clouds,overcast clouds
Calgary,51.0501,-114.0853,-2.78,-3.89,-3.18,1018,59,75,5.66,20,CA,1619147730,1619094357,1619145792,Clouds,broken clouds
Camrose,53.0168,-112.8353,-3,-4,-3.5,1022,46,61,2.06,40,CA,1619147731,1619093755,1619145795,Clouds,broken clouds
Canmore,51.0834,-115.3521,-4,-10.56,-6.39,1020,74,100,3.09,40,CA,1619147731,1619094656,1619146102,Clouds,overcast clouds
Chestermere,51.0334,-113.8187,-2.22,-3,-2.54,1018,63,75,5.66,360,CA,1619147461,1619094296,1619145726,Clouds,broken clouds
Cochrane,51.1834,-114.4687,-4.44,-5,-4.86,1017,74,90,2.57,50,CA,1619147731,1619094430,1619145904,Snow,light snow
Edmonton,53.5501,-113.4687,0,-2,-0.87,1023,37,72,3.09,10,CA,1619147731,1619093819,1619146034,Clouds,broken clouds
Fort McMurray,56.7268,-111.381,-2,-2,-2,1019,74,75,4.12,330,CA,1619147732,1619092743,1619146109,Snow,light snow
Fort Saskatchewan,53.7168,-113.2187,-1.11,-4,-2.63,1022,40,89,1.54,360,CA,1619147732,1619093732,1619146002,Clouds,overcast clouds
Grand Prairie,32.746,-96.9978,17,15.56,16.29,1016,51,90,2.06,110,US,1619147732,1619092185,1619139764,Clouds,overcast clouds
Grande Prairie,55.1667,-118.8027,0,0,0,1019,51,40,2.06,100,CA,1619147732,1619094817,1619147597,Clouds,scattered clouds
